Entity,Code,Year,Temperature anomaly,time
Afghanistan,AFG,2024,0.96365935,2024
Albania,ALB,2024,1.8030567,2024
Algeria,DZA,2024,1.6447657,2024
Andorra,AND,2024,1.3409745,2024
Angola,AGO,2024,0.788143,2024
Antigua and Barbuda,ATG,2024,1.0138149,2024
Argentina,ARG,2024,0.61310333,2024
Armenia,ARM,2024,1.344953,2024
Australia,AUS,2024,0.6231515,2024
Austria,AUT,2024,1.9012189,2024
Azerbaijan,AZE,2024,0.9155638,2024
Bahamas,BHS,2024,0.6574356,2024
Bahrain,BHR,2024,0.9437628,2024
Bangladesh,BGD,2024,0.6415617,2024
Belarus,BLR,2024,2.207797,2024
Belgium,BEL,2024,1.0621222,2024
Belize,BLZ,2024,1.065097,2024
Benin,BEN,2024,0.77169037,2024
Bhutan,BTN,2024,0.8978184,2024
Bolivia,BOL,2024,1.2902837,2024
Bosnia and Herzegovina,BIH,2024,2.3962412,2024
Botswana,BWA,2024,1.3184326,2024
Brazil,BRA,2024,0.7912448,2024
Brunei,BRN,2024,0.9654891,2024
Bulgaria,BGR,2024,1.8621482,2024
Burkina Faso,BFA,2024,0.6425732,2024
Burundi,BDI,2024,1.169405,2024
Cambodia,KHM,2024,0.8946822,2024
Cameroon,CMR,2024,1.0066243,2024
Canada,CAN,2024,1.9548453,2024
Cape Verde,CPV,2024,0.8282096,2024
Central African Republic,CAF,2024,1.3918,2024
Chad,TCD,2024,0.8227971,2024
Chile,CHL,2024,0.31966233,2024
China,CHN,2024,1.1581717,2024
Colombia,COL,2024,1.1851338,2024
Comoros,COM,2024,0.7102515,2024
Congo,COG,2024,1.1018134,2024
Costa Rica,CRI,2024,0.7746606,2024
Cote d'Ivoire,CIV,2024,0.7734785,2024
Croatia,HRV,2024,2.0418897,2024
Cuba,CUB,2024,0.69865435,2024
Cyprus,CYP,2024,0.885186,2024
Czechia,CZE,2024,1.9930058,2024
Democratic Republic of Congo,COD,2024,1.4729729,2024
Denmark,DNK,2024,1.010457,2024
Djibouti,DJI,2024,1.325699,2024
Dominican Republic,DOM,2024,1.0849218,2024
East Timor,TLS,2024,0.61994046,2024
Ecuador,ECU,2024,1.2167948,2024
Egypt,EGY,2024,0.9900284,2024
El Salvador,SLV,2024,0.8865886,2024
Equatorial Guinea,GNQ,2024,1.0785437,2024
Eritrea,ERI,2024,0.6090357,2024
Estonia,EST,2024,1.6922965,2024
Eswatini,SWZ,2024,0.7904751,2024
Ethiopia,ETH,2024,0.92710716,2024
Fiji,FJI,2024,0.78501254,2024
Finland,FIN,2024,1.0889037,2024
France,FRA,2024,0.7504578,2024
Gabon,GAB,2024,0.9406225,2024
Gambia,GMB,2024,0.47004223,2024
Georgia,GEO,2024,1.0443428,2024
Germany,DEU,2024,1.5575336,2024
Ghana,GHA,2024,0.92453164,2024
Greece,GRC,2024,1.7126083,2024
Greenland,GRL,2024,0.43005595,2024
Guatemala,GTM,2024,1.28236,2024
Guinea,GIN,2024,0.9341812,2024
Guinea-Bissau,GNB,2024,0.5644843,2024
Guyana,GUY,2024,1.2315949,2024
Haiti,HTI,2024,0.9330252,2024
Honduras,HND,2024,1.3163629,2024
Hungary,HUN,2024,1.8324671,2024
Iceland,ISL,2024,-0.95650023,2024
India,IND,2024,0.57244587,2024
Indonesia,IDN,2024,0.8796344,2024
Iran,IRN,2024,1.10882,2024
Iraq,IRQ,2024,0.9736614,2024
Ireland,IRL,2024,0.46039823,2024
Israel,ISR,2024,1.2342931,2024
Italy,ITA,2024,1.3331413,2024
Jamaica,JAM,2024,1.0451536,2024
Japan,JPN,2024,1.4454551,2024
Jordan,JOR,2024,1.1905769,2024
Kazakhstan,KAZ,2024,0.7833958,2024
Kenya,KEN,2024,0.8021169,2024
Kiribati,KIR,2024,0.49985537,2024
Kosovo,OWID_KOS,2024,1.6777693,2024
Kuwait,KWT,2024,0.83079606,2024
Kyrgyzstan,KGZ,2024,0.95222735,2024
Laos,LAO,2024,1.1396972,2024
Latvia,LVA,2024,1.9292632,2024
Lebanon,LBN,2024,1.4741483,2024
Lesotho,LSO,2024,1.1626004,2024
Liberia,LBR,2024,1.1583204,2024
Libya,LBY,2024,1.5572668,2024
Lithuania,LTU,2024,2.0714638,2024
Luxembourg,LUX,2024,1.0365046,2024
Madagascar,MDG,2024,0.7745455,2024
Malawi,MWI,2024,0.6648159,2024
Malaysia,MYS,2024,0.9048068,2024
Mali,MLI,2024,0.98139113,2024
Mauritania,MRT,2024,1.0272064,2024
Mauritius,MUS,2024,0.3671368,2024
Mexico,MEX,2024,1.0877486,2024
Moldova,MDA,2024,2.1701155,2024
Mongolia,MNG,2024,1.1377765,2024
Montenegro,MNE,2024,1.9249722,2024
Morocco,MAR,2024,1.4857854,2024
Mozambique,MOZ,2024,1.0030007,2024
Myanmar,MMR,2024,0.7602746,2024
Namibia,NAM,2024,1.2846528,2024
Nepal,NPL,2024,0.86878735,2024
Netherlands,NLD,2024,1.2579478,2024
New Caledonia,NCL,2024,0.5602142,2024
New Zealand,NZL,2024,0.46268156,2024
Nicaragua,NIC,2024,1.0662202,2024
Niger,NER,2024,0.6004078,2024
Nigeria,NGA,2024,0.70471764,2024
North Korea,PRK,2024,1.8356419,2024
North Macedonia,MKD,2024,1.6314411,2024
Norway,NOR,2024,1.1679968,2024
Oman,OMN,2024,0.92674035,2024
Pakistan,PAK,2024,0.704758,2024
Palestine,PSE,2024,1.035098,2024
Panama,PAN,2024,0.77382755,2024
Papua New Guinea,PNG,2024,0.860099,2024
Paraguay,PRY,2024,1.4286791,2024
Peru,PER,2024,1.2191558,2024
Philippines,PHL,2024,0.8273401,2024
Poland,POL,2024,2.1880739,2024
Portugal,PRT,2024,0.82940245,2024
Puerto Rico,PRI,2024,1.0996374,2024
Qatar,QAT,2024,0.8903942,2024
Romania,ROU,2024,2.119537,2024
Russia,RUS,2024,1.2474487,2024
Rwanda,RWA,2024,1.3497568,2024
Saint Vincent and the Grenadines,VCT,2024,1.003523,2024
Samoa,WSM,2024,0.5509103,2024
Sao Tome and Principe,STP,2024,0.74123734,2024
Saudi Arabia,SAU,2024,1.1555504,2024
Senegal,SEN,2024,0.43549633,2024
Serbia,SRB,2024,2.0625718,2024
Seychelles,SYC,2024,0.69338876,2024
Sierra Leone,SLE,2024,1.1364164,2024
Slovakia,SVK,2024,2.1164286,2024
Slovenia,SVN,2024,1.3740352,2024
Solomon Islands,SLB,2024,0.83790034,2024
Somalia,SOM,2024,1.0795614,2024
South Africa,ZAF,2024,1.0059483,2024
South Korea,KOR,2024,1.7615885,2024
South Sudan,SSD,2024,1.5061702,2024
Spain,ESP,2024,0.9031634,2024
Sri Lanka,LKA,2024,0.6918435,2024
Sudan,SDN,2024,0.5841605,2024
Suriname,SUR,2024,1.1981249,2024
Sweden,SWE,2024,0.8898261,2024
Switzerland,CHE,2024,1.4665651,2024
Syria,SYR,2024,1.5015124,2024
Tajikistan,TJK,2024,1.1331336,2024
Tanzania,TZA,2024,0.4383327,2024
Thailand,THA,2024,1.0155298,2024
Togo,TGO,2024,0.9087723,2024
Trinidad and Tobago,TTO,2024,1.0156889,2024
Tunisia,TUN,2024,1.4212494,2024
Turkey,TUR,2024,1.7049693,2024
Turkmenistan,TKM,2024,0.8112672,2024
Uganda,UGA,2024,1.0464215,2024
Ukraine,UKR,2024,2.3942368,2024
United Arab Emirates,ARE,2024,0.9827673,2024
United Kingdom,GBR,2024,0.6734039,2024
United States,USA,2024,1.1217383,2024
Uruguay,URY,2024,0.0529383,2024
Uzbekistan,UZB,2024,0.95854145,2024
Vanuatu,VUT,2024,0.63393193,2024
Venezuela,VEN,2024,1.2222146,2024
Vietnam,VNM,2024,0.94464874,2024
Yemen,YEM,2024,1.4151019,2024
Zambia,ZMB,2024,0.77405137,2024
Zimbabwe,ZWE,2024,1.3649564,2024